Judul,Isi,Tanggal,Kategori
DJPPR Kemenkeu Dorong Inovasi Dalam Pendanaan Proyek Infrastruktur,"Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko Kementerian Keuangan (DJPPR Kemenkeu) membeberkan jurus jitu menggaet investor swasta dalam proyek infrastruktur RI.
Kepala Subdirektorat Peraturan dan Pengembangan Kebijakan Pembiayaan Infrastruktur DJPPR Kemenkeu Lalu Taruna Anugerah menegaskan pembangunan infrastruktur penting untuk terus dilanjutkan. Terlebih, Presiden Prabowo Subianto menargetkan pertumbuhan ekonomi melesat sampai 8 persen.
""Pertama, untuk mendorong pertumbuhan ekonomi 8 persen perlu melanjutkan pengembangan infrastruktur. Kedua, mendorong partisipasi swasta dan innovative financing,"" ungkapnya dalam Talk Show 'Creative Financing, Jurus Jitu Infrastruktur Menembus Ekonomi 8 Persen' di Jakarta Pusat, Rabu (18/12).
ADVERTISEMENT
SCROLL TO CONTINUE WITH CONTENT
Lalu mencatat pembiayaan infrastruktur di Indonesia mencapai Rp6.445 triliun pada 2020-2024. Sedangkan pemerintah melalui Anggaran Pendapatan dan Belanja Negara (APBN) hanya sanggup mendanai 37 persen, yakni sekitar Rp2.385 triliun.

DJPPR menekankan kas pemerintah tidak cukup untuk memikul tanggung jawab itu sendirian dalam membangun infrastruktur. Oleh karena itu, sisanya bisa ditopang dari BUMN hingga investasi swasta.
""Bagaimana caranya agar swasta bisa tertarik ikut berinvestasi? Tentunya ini akan sangat erat kaitannya dengan bagaimana kita melihat appetite swasta yang profit oriented,"" beber Lalu.
Ia lantas mencontohkan bagaimana kehadiran skema kerja sama pemerintah dengan badan usaha (KPBU) yang ada selama ini. Menurutnya, proses yang tak kalah penting dalam rangkaian ini adalah menyiapkan proyek infrastruktur dengan matang.
Lalu menegaskan DJPPR Kemenkeu bakal mendampingi bagaimana perencanaan proyek infrastruktur. Mulai dari aspek finansial, lahan, perizinan, hingga aspek revenue stream.
""Artinya, bankable itu menjadi suatu perhatian kita untuk disiapkan sedemikian rupa dan didampingi konsultan yang kita hire. Sehingga pada saat nanti dilelang oleh penanggung jawab proyek kerja sama, swasta bisa dipastikan tertarik akan masuk,"" tegasnya.
Di lain sisi, Lalu menekankan pentingnya implementasi environment, social, and governance (ESG). Ia mengatakan DJPPR sudah menyediakan ESG Framework dan ESG Manual untuk mewujudkan implementasinya dalam proyek infrastruktur.
[Gambas:Video CNN]
","Rabu, 18 Des 2024 19:40 WIB",ekonomi
Menkop Pastikan Ratusan Koperasi Siap Pasok Bahan Baku Makan Bergizi,"Menteri Koperasi Budi Arie Setiadi mengungkap ratusan koperasi siap memasok bahan baku untuk kebutuhan makan bergizi gratis (MBG) yang akan mulai dijalankan tahun depan.
Menurut Budi, ia telah menyerahkan jumlah koperasi beserta produk yang dihasilkan ke Badan Gizi Nasional, misalnya koperasi penghasil telur, ayam, sayuran dan sebagainya.
""Data-datanya sudah (diberikan ke Badan Gizi) ya, ada koperasi-koperasi yang siap memasok semua kebutuhan-kebutuhan untuk makan bergizi gratis,"" ujar Budi ditemui usai membuka Rakornas KUD di Hotel Millenium, Rabu (18/12).
ADVERTISEMENT
SCROLL TO CONTINUE WITH CONTENT

Budi menyebutkan beberapa data yang sudah disampaikan adalah 92 koperasi penghasil telur, 92 koperasi penghasil wortel dan 90an koperasi ayam. Masih banyak yang lainnya namun belum bisa dirincikan.
""Jadi ada ratusan kooperasi yang kita sudah identifikasi, mampu dan sanggup memasok kebutuhan-kebutuhan program makan bergizi,"" jelasnya.
Ia menegaskan ada juga koperasi buah-buahan, koperasi beras hingga susu yang sudah menyatakan siap memasok bahan-bahan untuk program makan bergizi. Lainnya masih menyusul dan dipastikan yang bersedia produksinya mencukupi.
""Bahan baku untuk makanan, kita sudah identifikasi ya, angkanya nanti detailnya ada kok. Jadi koperasi telur berapa, koperasi berbasis peternakan ayam, daging berapa, koperasi susu pasti, koperasi sayur-sayur, pertanian ada karena itu kita ingin memberdayakan koperasi,"" terangnya.
Mungkin yang kurang adalah koperasi susu. Sebab, produksi per hari peternak hanya 1,3 juta liter.
""Jadi bayangkan ya, kalau pesertanya 15 juta peserta, kalau satu orang 0,2 ml, 3 juta liter per hari. Artinya kooperasi kurang. Tapi kita pokoknya, yang penting produksi dalam negeri terserap dulu (baru mikirin impor),"" pungkas Budi.
[Gambas:Video CNN]
","Rabu, 18 Des 2024 19:10 WIB",ekonomi
BPJS Ketenagakerjaan Tingkatkan Literasi Jamsostek PMI di Hari Migran,"Dalam rangka memperingati Hari Migran Internasional tahun ini, BPJS Ketenagakerjaan memfokuskan diri pada peningkatan literasi perlindungan jaminan sosial ketenagakerjaan bagi Calon Pekerja Migran Indonesia (CPMI) dan seluruh ekosistem pendukungnya.
Lewat program bertajuk ""Dekati Kami"", BPJS Ketenagakerjaan hadir langsung di kantong-kantong PMI seperti Lombok dan Cirebon.
Kehadiran mereka untuk membangun kesadaran sekaligus mendengar keresahan dari ratusan calon pahlawan devisa, soal berbagai risiko yang mungkin dialami saat berada di negara penempatan.
ADVERTISEMENT
SCROLL TO CONTINUE WITH CONTENT
Selain itu, kegiatan ini juga menjadi upaya BPJS Ketenagakerjaan untuk meningkatkan sinergi dengan pemangku kepentingan di setiap daerah, khususnya di tingkat desa, dalam memastikan penempatan dan pelindungan pekerja migran secara aman dan nyaman sehingga mampu mendorong pertumbuhan perekonomian daerah.
Dalam kegiatan yang digelar di Desa Paok Motong, Kabupaten Lombok Timur, Direktur Pelayanan BPJS Ketenagakerjaan, Roswita Nilakurnia, mengingatkan para CPMI untuk selalu menempuh jalur resmi agar mendapatkan perlindungan jaminan sosial ketenagakerjaan.
Berdasarkan data hingga penghujung November, terdapat 614 ribu PMI yang sudah dilindungi BPJS Ketenagakerjaan. Dari angka tersebut, Lombok Timur dan sekitarnya menempati posisi kedua penyumbang kepesertaan PMI terbanyak yakni sebanyak 8 ribu pekerja.
""Dengan blusukan ke kantong-kantong PMI ini, kita sama-sama menyadari bahwa pekerja migran adalah pahlawan devisa bagi negara. Kita di sini berpartisipasi dan sekalian juga melakukan sosialisasi terkait pentingnya perlindungan jaminan sosial bagi para PMI,"" kata Roswita dikutip Rabu (18/12).
""Dalam rangkaian ini kami pun melakukan edukasi kepada calon pekerja yakni siswa siswi SMK di Lombok Timur yang kita harapkan ke depan mereka akan menjadi pekerja mandiri maupun PMI, sehingga penting bagi mereka juga untuk memahami fungsi perlindungan jaminan sosial ketenagakerjaan,""ujar Roswita.
Sejalan dengan itu, Penjabat (Pj) Bupati Lombok Timur, Muhammad Juaini Taofik yang juga hadir dalam kesempatan tersebut menekankan bahwa pekerja migran juga merupakan profesi yang mulia dan wajib mendapatkan perlindungan dari negara.
""Profesi yang satu dengan profesi yang lain tentu tidak bisa dibanding-bandingkan tetapi pasti saling membutuhkan, yang penting apapun profesi kita, harus profesional dan negara berkewajiban untuk melindunginya,"" ujarnya.
""Kita tidak khawatir lagi untuk menjadi PMI yang penting menjadi PMI yang prosedural. Karena hanya PMI yang prosedural itulah yang bisa kita siapkan, lalu kita jamin perlindungannya, baik di dalam negeri, di luar negeri, termasuk keluarga pekerja migrannya,"" katanya.
Bukti nyata perlindungan Jamsostek
Manfaat perlindungan jaminan sosial telah dirasakan oleh banyak PMI dan keluarga mereka. Salah satunya Fitriawati, ahli waris Sapo An, PMI asal Lombok Barat yang meninggal dunia di Malaysia.
Ia memanfaatkan manfaat Jaminan Kematian (JKM) untuk memperluas ladang jagung dan menopang perekonomian keluarga pasca ditinggal sang suami tercinta.
Hal serupa turut dirasakan Suryani. Ibu dari seorang PMI yang pernah bekerja di Taiwan. Manfaat yang diterima dari BPJS Ketenagakerjaan tersebut menjadi modal baginya melanjutkan hidup dengan membeli gerobak dan berjualan makanan.
Hal ini tentu menjadi bukti nyata hadirnya pemerintah untuk memastikan seluruh warganya tetap dapat hidup layak pasca ditinggal tulang punggungnya.
Manfaat yang kian optimal
Roswita juga menjelaskan bahwa pasca diterbitkannya Peraturan Menteri Ketenagakerjaan (Permenaker) Nomor 4 Tahun 2023, jumlah manfaat perlindungan PMI meningkat dari 14 menjadi 21 manfaat, yang terdiri dari 7 manfaat baru serta 9 manfaat yang nilainya bertambah.
""Seluruh manfaat ini didesain untuk melindungi PMI sejak sebelum keberangkatan, selama bekerja di negara penempatan, hingga setelah kembali ke tanah air. Lama perlindungannya bisa sampai 30 bulan dengan asumsi kontrak kerja selama 2 tahun,""ujar Roswita.
Selain getol melakukan edukasi, BPJS Ketenagakerjaan juga mempertegas komitmennya untuk lebih dekat dengan PMI melalui kemudahan dan peningkatan layanan.
Roswita menjabarkan bahwa BPJS Ketenagakerjaan telah membangun kanal digital untuk pendaftaran PMI melalui laman pmi.bpjsketenagakerjaan.go.id serta klaim elektronik khusus PMI yang dapat diakses lewat eklaimpmi.bpjsketenagakerjaan.go.id dan aplikasi Jamsostek Mobile (JMO).
""Kami juga telah bersinergi dengan Kementerian Pelindungan PMI dalam pendaftaran pelindungan jaminan sosial PMI melalui integrasi SISKOP2MI, dan pendaftaran di luar negeri melalui portal peduli WNI, Kementerian Luar Negeri,""imbuhnya.
Di samping itu BPJS Ketenagakerjaan memiliki 324 Kantor Cabang yang tersebar di seluruh Indonesia, 239 Unit Layanan di Kabupaten/Kota, dimana 4 Unit Layanan diantaranya berada di Taiwan, Hong Kong, Korea Selatan, dan Brunei Darusslam.
Serta yang terbaru, BPJS Ketenagakerjaan bersama Kementerian Pelindungan PMI baru saja membuka 5 titik Unit Layanan Lounge BP2MI di beberapa Bandara Internasional yakni Soekarno Hatta Jakarta, Kualanamu Medan, Ngurah Rai Bali, Lombok Praya NTB, dan Yogyakarta.
Beragam kemudahan ini menurut Roswita merupakan bukti keseriusan BPJS Ketenagakerjaan untuk menjaga agar para PMI bisa Kerja Keras Bebas Cemas.
""Perlindungan PMI memang merupakan kerja kolaborasi oleh karena itu dibutuhkan sinergi yang erat antar berbagai pihak terkait sehingga diharapkan upaya kita bersama ini menjadi langkah yang baik dan mendapat ridha Allah SWT, untuk mewujudkan perlindungan jaminan sosial ketenagakerjaan yang optimal bagi para pahlawan devisa negara, sehingga kesejahteraan seluruh pekerja Indonesia dapat segera terwujud,"" kata Roswita.","Rabu, 18 Des 2024 18:59 WIB",ekonomi
"BI Siapkan Uang Tunai Rp133,7 T buat Kebutuhan Nataru 2024-2025","Bank Indonesia (BI) menyiapkan uang tunai Rp133,7 triliun selama periode Natal dan Tahun baru (Nataru) 2024-2025.
Deputi Gubernur BI Doni P Joewono mengatakan uang layak edar sebanyak Rp133,7 triliun tersebut sudah didistribusikan kepada bank-bank yang tersebar di seluruh Indonesia.
""Untuk mensukseskan teman-teman yang merayakan Natal di Hari Raya Natal dan Tahun baru ini di 2024, kita berkomitmen untuk menyediakan rupiah di seluruh NKRI, dan tentunya yang sudah kita hitung untuk menyediakan uang layak edar itu adalah Rp133,7 triliun,"" ujar Doni dalam konferensi pers, Rabu (18/12).
ADVERTISEMENT
SCROLL TO CONTINUE WITH CONTENT
""Tentunya ini kita sudah distribusikan kepada bank-bank dan menyebar di Jawa 54 persen, Sumatra 21 persen, Sulampua (Sulawesi-Ambon-Papua) 12 persen, Kalimantan 9 persen, dan Bali-Nusra (Nusa Tenggara) 4 persen,"" imbuhnya.

Dari uang layak edar tersebut, Doni menuturkan sebanyak Rp52,5 triliun atau sekitar 39,3 persen sudah ditarik oleh bank. Ia memperkirakan uang yang ditarik bank bakal mencapai 95 persen di pekan keempat Desember 2024.
Di samping itu, pada Nataru tahun ini BI pun menyediakan uang tunai Rp345 miliar untuk program Semarak Rupiah di Hari Natal Penuh Damai (Serunai) untuk. Program untuk penukaran uang ini diselenggarakan pada 15-20 Desember 2024.
Total uang yang disiapkan adalah pecahan dengan total Rp4 juta. Sampai hari ini sudah hampir 54 persen yang ditariik atau senilai Rp186,4 miliar.
""Dan tentunya ini di semua titik. Kita pakai kas keliling. Jadi Bank Indonesia langsung ke gereja, ke sekolah. jadi kebetulan beberapa kota yang kantor Bank Indonesia itu yang banyak penukarannya kita prioritaskan,"" tutur dia.
[Gambas:Video CNN]

","Rabu, 18 Des 2024 18:42 WIB",ekonomi
"Nataru 2024/2025, BRI Jaga Layanan Perbankan Lewat 1 Juta AgenBRILink","PT Bank Rakyat Indonesia (Persero) Tbk atau BRI menyatakan bahwa jaringan AgenBRILink akan tetap beroperasi di masa periode Natal 2024 dan Tahun Baru 2025 (Nataru).
Senior Executive Vice President (SEVP) Ultra Mikro BRI, M. Candra Utama menyampaikan bahwa momen Nataru dapat menjadi katalis positif bagi aktivitas keuangan masyarakat, sekaligus memperkuat posisi AgenBRILink sebagai salah satu solusi keuangan inklusif unggulan di Indonesia.
""Dengan lebih dari satu juta agen yang tersebar di seluruh Indonesia, termasuk di wilayah terpencil, AgenBRILink siap mendukung berbagai kebutuhan finansial masyarakat selama periode libur Nataru,"" kata Candra di Jakarta.
ADVERTISEMENT
SCROLL TO CONTINUE WITH CONTENT
Hingga akhir November 2024, AgenBRILink tercatat berjumlah 1.047.502 orang, meningkat 45,68 persen dibandingkan tahun 2023. Adapun transaksi yang dibukukan mencapai lebih dari 1,05 miliar transaksi, tumbuh 5,64 persen secara tahunan (year-on-year/yoy) dibandingkan November 2023 yang mencapai 992 juta transaksi.
Dari sisi nilai, volume transaksi mencapai Rp1.442 triliun, meningkat 11,51 persen yoy dibandingkan tahun lalu, yakni sebesar Rp1.293 triliun pada November 2023.
AgenBRILink diketahui telah menjadi salah satu solusi keuangan inklusif yang andal, melayani berbagai keuangan seperti pembayaran tagihan, pembelian pulsa, top-up BRIZZI, hingga setoran pinjaman.
AgenBRILink secara nyata juga berkontribusi dalam pendapatan non-bunga (fee based income) BRI. Sampai akhir November 2024, FBI yang dihasilkan AgenBRILink yang tersebar hingga wilayah 3T (Terdepan, Terluar dan Tertinggal) mencapai Rp1,47 triliun.
Peran AgenBRILink itu diyakini tak terlepas dari strategi hybrid BRI yang memadukan layanan fisik dan digital untuk melayani segmen nasabah BRI yang beragam, serta menyediakan kemudahan perbankan melalui beragam fitur, termasuk layanan pembelian tiket bus, shuttle hingga kapal ferry.","Rabu, 18 Des 2024 18:31 WIB",ekonomi
Allo Bank Hadirkan Allo Deposito Flash Deal dengan Untung Menggiurkan,"Allo Bank, bank umum berbasis layanan digital yang beroperasi di bawah naungan CT Corp, kembali memberikan solusi keuangan yang aman, praktis, dan menguntungkan bagi masyarakat Indonesia.
Penawaran diberikan dalam rangka menyambut tahun 2025,
Salah satu penawaran spesial yang tidak boleh dilewatkan adalah Allo Deposito Flash Deal, promo eksklusif terakhir di penghujung tahun ini!
ADVERTISEMENT
SCROLL TO CONTINUE WITH CONTENT

Dalam keterangan yang dikeluarkan di Jakarta Rabu (18/12) ini, promo Allo Deposito Flash Deal akan berlangsung pada 21 Desember 2024, dan 27 Desember 2024.
Dengan promo ini nasabah yang membuka Allo Deposito dengan minimal Rp10 juta akan mendapatkan berbagai keuntungan menarik seperti bunga deposito hingga 8,5% per tahun, cash reward hingga Rp2 juta, tambahan bunga 1% khusus pengguna baru, bebas biaya admin bulanan & bebas biaya penalti.
Allo Bank berkomitmen untuk selalu memberikan keamanan dan kenyamanan bagi nasabahnya. Sebagai bank umum berbasis layanan digital yang beroperasi di bawah naungan CT Corp, Allo Bank memastikan untuk memenuhi standar keamanan perbankan tertinggi, mengikuti kesuksesan Bank Mega yang telah dikenal sebagai salah satu bank konvensional terpercaya di Indonesia.
Hingga saat ini, Allo Bank telah melayani lebih dari 11 juta pengguna, memberikan pengalaman perbankan berbasis layanan digital yang aman dan nyaman untuksegala kebutuhan finansial.
","Rabu, 18 Des 2024 18:23 WIB",ekonomi
Zulhas Sebut 6 Menteri Kerja Keras Siang-Malam Demi Swasembada 2027,"Menteri Koordinator Bidang Pangan Zulkifli Hasan mengungkapkan ada 6 menteri di bawah koordinasinya yang bekerja siang malam demi mencapai swasembada pangan 2027.
""Kerjanya gak pakai jam, siang malam bekerja keras,"" klaim sang menko dalam Konferensi Pers di Kantor Kemenko Pangan, Jakarta Pusat, Rabu (18/12).
""Menteri pertanian, menteri kelautan, menteri kehutanan, menteri lingkungan hidup, menteri perdagangan, menteri desa, dan seterusnya,"" rinci Zulkifli.
ADVERTISEMENT
SCROLL TO CONTINUE WITH CONTENT
Pria yang akrab disapa Zulhas itu yakin dengan kerja sama itu, swasembada pangan di 2027 bisa terwujud. Menurutnya, salah satu kunci merealisasikan target tersebut adalah bekerja sama dengan kuat.

Ia juga menekankan target itu bukan hanya untuk komoditas beras. Menko Zulhas menyebut swasembada berlaku untuk beras, jagung, gula, dan garam.
""Kami mulai kebiasaan baru. Sarana penting, gedung penting, tapi gak menentukan. Kantornya mewah sekali, kalau kerjanya malas, ya gak bisa. Dan kita mengurangi protokoler, mengurangi seremonial, dan kurangi basa-basi. Yang penting kinerja,"" tegas Zulhas.
""Kami meyakini bahwa (target) swasembada pangan yang ditetapkan 2027 insyaallah bisa kita capai,"" imbuhnya.

Pria yang juga ketua umum Partai Amanat Nasional (PAN) itu mengklaim harga dan stok pangan menjelang libur Natal dan Tahun Baru (Nataru) aman. Bahkan, Zulkifli Hasan mengatakan stok beberapa komoditas berlebih.
Ia mengatakan komoditas gula ada 1,5 juta ton serta stok beras lebih dari 8 juta ton. Hal ini yang juga menjadi pertimbangan pemerintah tak akan mengimpor empat komoditas pangan di 2025.
""Semangat kita sekarang tidak impor, semangat kita sudah swasembada. Jadi kita bekerja dulu, jangan nyerah dulu,"" ucap Zulkifli.
""Kita tahun depan sudah putuskan tidak impor beras, tidak impor gula, tidak impor garam, tidak impor jagung. Empat (komoditas), beras, gula, jagung, garam. Jadi kita tidak impor dulu (di 2025),"" tutupnya.
[Gambas:Video CNN]
","Rabu, 18 Des 2024 18:15 WIB",ekonomi
Bos BI Ungkap Sebab Rupiah Ambrol Lagi ke Level Rp16 Ribu,"Gubernur Bank Indonesia (BI) Perry Warjiyo membeberkan penyebab nilai tukar rupiah tembus ke level Rp16 ribu per dolar AS pada Desember 2024. Perry mengungkap nilai tukar rupiah melemah 1,37 persen point to point (ptp) dari bulan sebelumnya.
Ia mengatakan pelemahan nilai tukar rupiah tersebut dipengaruhi oleh semakin tingginya ketidakpastian global.
""Terutama terkait dengan arah kebijakan AS, ruang penurunan FFR (Fed Funds Rate) yang lebih rendah, penguatan mata uang dolar AS secara luas, dan risiko geopolitik yang mengakibatkan berlanjutnya preferensi investor global untuk memindahkan alokasi portofolionya kembali ke AS,"" ujar Perry dalam konferensi pers, Rabu (18/12).
ADVERTISEMENT
SCROLL TO CONTINUE WITH CONTENT
Kendati demikian, depresiasi nilai tukar rupiah diklaim tetap terkendali jika dibandingkan dengan level akhir Desember 2023. Perry juga mengklaim depresiasi rupiah masih lebih baik dibandingkan sejumlah mata uang negara tetangga.

Perry mencatat pelemahan rupiah setidaknya lebih baik daripada dolar Taiwan, peso Filipina dan won Korea Selatan yang masing-masing terdepresiasi sebesar 5,58 persen, 5,94 persen, dan 10,47 persen.
""Ke depan, nilai tukar rupiah diprakirakan stabil didukung komitmen Bank Indonesia menjaga stabilitas nilai tukar rupiah, imbal hasil yang menarik, inflasi yang rendah, dan prospek pertumbuhan ekonomi Indonesia yang tetap baik,"" tuturnya lebih lanjut.
Selain itu, pemanfaatan seluruh instrumen moneter juga dioptimalkan, termasuk penguatan strategi operasi moneter pro-market melalui optimalisasi instrumen Sekuritas Rupiah Bank Indonesia (SRBI), Sekuritas Valas Bank Indonesia (SVBI), dan Sukuk Valas Bank Indonesia (SUVBI).
Menurutnya, kebijakan tersebut juga dimaksudkan untuk memperkuat efektivitas kebijakan dalam menarik aliran masuk investasi portofolio asing dan mendukung penguatan nilai tukar rupiah.

Tercatat, hingga 16 Desember 2024 posisi instrumen SRBI, SVBI, dan SUVBI masing-masing sebesar Rp940,67 triliun, US$2,08 miliar, dan US$386 juta.
""Penerbitan SRBI telah mendukung upaya peningkatan aliran masuk portofolio asing ke dalam negeri dan penguatan nilai tukar rupiah. Kepemilikan non residen dalam SRBI mencapai Rp233,85 triliun atau 24,86 persen dari total outstanding,"" ucap Perry.
Tak hanya itu, implementasi Primary Dealer (PD) sejak Mei 2024 juga memperkuat efektivitas SRBI sebagai instrumen moneter dalam mendukung stabilitas nilai tukar rupiah dan pengendalian inflasi.
[Gambas:Video CNN]

","Rabu, 18 Des 2024 17:50 WIB",ekonomi
Pertamina Patra Niaga Tunaikan Target BBM Satu Harga di 573 Titik,"Pertamina melalui Pertamina Patra Niaga yang berkolaborasi dengan Kementerian Energi dan Sumber Daya Mineral (ESDM) dan BPH Migas meresmikan 31 titik baru BBM Satu Harga, masing-masing di Klaster Sumatera dan Kalimantan (6 titik), Klaster Nusa Tenggara-Sulawesi (6 titik), Klaster Maluku (9 titik), dan Klaster Papua (10 titik).
Peresmian dilakukan di empat lokasi secara bersamaan, yakni di Kabupaten Kupang - Nusa Tenggara Timur, Kabupaten Lima Puluh - Kota Sumatra Barat, Kabupaten Fakfak - Papua Barat dan Kota Ambon - Maluku pada Rabu (18/12). Kini, total realisasi titik operasional BBM Satu Harga menjadi 573 titik, sesuai target pemerintah.
Direktur Utama Pertamina Patra Niaga, Riva Siahaan menyampaikan bahwa pencapaian target 573 titik lokasi BBM Satu Harga itu terjadi berkat kolaborasi erat bersama Kementerian ESDM, BPH Migas, hingga pemerintah daerah dan pemangku kepentingan lain.
ADVERTISEMENT
SCROLL TO CONTINUE WITH CONTENT
""Kami bertekad untuk terus memastikan keberlanjutan suplai BBM di 573 lokasi tersebut dengan melakukan koordinasi yang baik antara Terminal BBM, transportir, dan lembaga penyalur untuk memperkuat distribusi energi,"" papar Riva di Integrated Terminal Wayame, Kota Ambon, yang menjadi pusat peresmian.
Ke depannya, Pertamina Patra Niaga akan terus memantau ketersediaan BBM di setiap titik, juga melakukan pemeliharaan infrastruktur distribusi secara rutin. Sehingga, masyarakat yang tinggal di wilayah kepulauan akan selalu dapat mengakses energi tanpa masalah.
Kepala BPH Migas Erika Retnowati, mengatakan pihaknya secara konsisten sejak 2017 turut mengawal upaya pencapaian target BBM Satu Harga. Erika pun menyatakan apresiasi terhadap berbagai pihak yang terlibat mewujudkan program BBM Satu Harga.
""Atas terbangunnya penyalur BBM Satu Harga dan terselenggaranya acara ini kami mengucapkan terima kasih kepada Pertamina dan semua pihak yang terlibat, semoga dengan beroperasinya BBM Satu Harga ini bisa memberikan manfaat sebesar-besarnya bagi masyarakat,"" ucap Erika.
Sementara, Menteri ESDM Bahil Lahalida menjelaskan bahwa pencapaian ini menandai komitmen pemerintah sejak 2017 untuk memeratakan penyediaan BBM dengan harga yang sama di seluruh pelosok Indonesia, termasuk wilayah Terdepan, Terluar, dan Tertinggal (3T).
""31 titik BBM Satu Harga kita resmikan hari ini, dengan demikian maka harga BBM di kota yang notabenenya subsidi itu akan sama dengan harga BBM yang di daerah-daerah sekalipun terpencil. Ini sebagai bentuk upaya pemerintah dalam menjamin ketersediaan bahan bakar supaya aktivitas ekonomi bisa jalan, perputaran ekonomi bisa terjadi, ketersediaan terhadap bbm bisa terjadi,"" ujar Bahlil.
Di kesempatan berbeda, VP Corporate Communication Pertamina Fadjar Djoko Santoso menambahkan harap bahwa perluasan BBM Satu Harga ini dapat membantu pemerataan perekonomian Indonesia.
""Dengan ketersediaan energi, juga dengan satu harga yang sama, diharapkan program ini dapat membantu pemerataan dan peningkatan ekonomi daerah,"" kata Fadjar.","Rabu, 18 Des 2024 17:24 WIB",ekonomi
Bisakah Creative Financing Lanjutkan Proyek Tol?,"PT Penjaminan Infrastruktur Indonesia (Persero) PT PII menilai skema creative financing dapat menjadi solusi untuk melanjutkan proyek jalan tol yang terancam akibat kebijakan Presiden Prabowo Subianto.
Hal ini disampaikan Deputi Direktur Bisnis PT Penjaminan Infrastruktur Indonesia (Persero) Pratomo Ismujatmika  dalam acara talk show bertajuk 'Creative Financing, Jurus Jitu Infrastruktur Menembus Ekonomi 8 Persen' di Jakarta, Rabu (18/12).
Menurut Pratomo, sejumlah ruas tol yang tersisa saat ini memiliki tantangan berat karena terletak di wilayah yang belum memiliki potensi permintaan besar.
ADVERTISEMENT
SCROLL TO CONTINUE WITH CONTENT
""Sekarang itu memang banyak ruas-ruas itu, yang sekarang demand totalnya paling challenging,"" ungkapnya.

Ia menjelaskan bahwa para investor, khususnya dari luar negeri, enggan menanggung risiko jalan tol yang tidak memiliki permintaan pengguna yang pasti.
""Mereka maunya kalau ada jaminan demand atau keuntungan yang stabil,"" tambah Pratomo.
Sebagai solusi, ia mengusulkan model pembiayaan paket.
""Jadi yang ruas yang sudah dibangun, itu dipaket dengan ruas-ruas yang baru. Jadi prinsip yang ada dari jalan tol yang eksisten, bisa dipaket untuk membalik investasi dari Jalan ruas yang baru,"" jelasnya.
Presiden Prabowo Subianto sebelumnya meminta penundaan sementara proyek infrastruktur besar, termasuk jalan tol.
Menurut Sony Sulaksono Wibowo dari Badan Pengatur Jalan Tol (BPJT), penundaan berlaku untuk proyek-proyek yang belum memulai konstruksi. Proyek yang sudah dalam tahap studi kelayakan atau pembangunan akan tetap dilanjutkan.
Salah satu contoh proyek yang ditahan adalah Tol Puncak dan ruas tol Kulon Progo-Cilacap. Namun, Sony membuka peluang bagi investor swasta untuk melanjutkan proyek yang ditunda pemerintah, asalkan tidak menggunakan dana dari anggaran negara.
[Gambas:Video CNN]

","Rabu, 18 Des 2024 17:23 WIB",ekonomi
